cell_id,community
qot|o|e_grade,C0
qot|bare|e_grade,C0
sh|o|clitic,C0
sh|eo|aspect,C0
qot|o|aspect,C0
qok|eo|o_grade,C0
ch|bare|paradigm,C0
ok|o|o_grade,C0
sh|bare|paradigm,C0
ok|eo|o_grade,C0
sh|eo|other,C0
qok|o|o_grade,C0
ok|o|paradigm,C0
sh|eo|o_grade,C0
sh|o|e_grade,C0
ok|o|e_grade,C0
ot|o|paradigm,C0
qot|eo|aspect,C0
qot|o|o_grade,C0
sh|o|aspect,C0
sh|o|other,C0
sh|eo|clitic,C0
sh|bare|e_grade,C0
ok|e|paradigm,C0
ch|o|e_grade,C0
ch|eo|clitic,C0
sh|o|paradigm,C0
qok|eo|other,C0
ch|o|other,C0
ok|eo|paradigm,C0
ch|o|clitic,C0
ok|o|other,C0
qok|eo|e_grade,C0
ch|e|paradigm,C0
qot|o|other,C0
sh|o|o_grade,C0
ot|o|o_grade,C0
ch|o|aspect,C0
ch|bare|e_grade,C0
qok|eo|aspect,C0
ch|eo|aspect,C0
ch|o|o_grade,C0
ch|eo|other,C0
qok|o|other,C0
ch|eo|o_grade,C0
ch|e|o_grade,C0
sh|eo|e_grade,C0
ot|e|clitic,C1
qot|eo|other,C1
sh|e|other,C1
ok|eo|aspect,C1
qok|bare|e_grade,C1
qot|bare|other,C1
qot|e|e_grade,C1
qot|bare|paradigm,C1
qot|e|other,C1
qok|bare|other,C1
qok|e|aspect,C1
sh|bare|other,C1
qok|bare|paradigm,C1
ot|e|aspect,C1
ok|e|e_grade,C1
qok|e|e_grade,C1
qok|bare|o_grade,C1
qok|o|aspect,C1
sh|e|e_grade,C1
sh|bare|o_grade,C1
sh|e|clitic,C1
ok|bare|aspect,C1
qok|e|clitic,C1
qok|bare|clitic,C1
qot|e|aspect,C1
ch|e|aspect,C1
sh|e|aspect,C1
qok|e|other,C1
sh|bare|aspect,C1
ok|e|aspect,C1
qok|e|o_grade,C1
qok|o|paradigm,C1
qok|bare|aspect,C1
sh|e|o_grade,C1
ch|bare|aspect,C2
ot|o|other,C2
qot|eo|clitic,C2
ok|bare|o_grade,C2
ok|bare|clitic,C2
sh|e|paradigm,C2
ot|bare|o_grade,C2
ot|bare|aspect,C2
ot|bare|other,C2
ot|bare|e_grade,C2
ch|bare|clitic,C2
ot|bare|paradigm,C2
ot|o|clitic,C2
ok|bare|other,C2
qot|bare|o_grade,C2
ch|e|clitic,C2
ch|bare|o_grade,C2
qok|o|e_grade,C2
ok|bare|e_grade,C2
qot|e|clitic,C2
qot|bare|clitic,C2
ot|bare|clitic,C2
ot|o|aspect,C2
ch|bare|other,C2
sh|bare|clitic,C2
ok|bare|paradigm,C2
ot|eo|clitic,C2
ch|eo|paradigm,C3
ot|eo|aspect,C3
ok|o|aspect,C3
ok|e|other,C3
ot|e|e_grade,C3
ok|eo|e_grade,C3
ot|eo|other,C3
ch|eo|e_grade,C3
qot|eo|e_grade,C3
qok|e|paradigm,C3
ch|o|paradigm,C3
ot|eo|e_grade,C3
ot|e|paradigm,C3
ot|eo|o_grade,C3
ch|e|other,C3
ok|eo|other,C3
qot|eo|o_grade,C3
ok|e|clitic,C3
ot|e|other,C3
ch|e|e_grade,C4
ot|o|e_grade,C4
