rank,folio_1,folio_2,score,shared_sparse_tokens
1,f1r,f37v,0.500,"cthols (f1:1, f2:1, tot_in_herbalA:2)"
2,f35r,f4v,0.500,"cthory (f1:1, f2:1, tot_in_herbalA:2)"
3,f24v,f6r,0.500,"ctheod (f1:1, f2:1, tot_in_herbalA:2)"
4,f24r,f6r,0.500,"qocthol (f1:1, f2:1, tot_in_herbalA:2)"
5,f10r,f19r,0.500,"cthyd (f1:1, f2:1, tot_in_herbalA:2)"
6,f15v,f22r,0.500,"cthoiin (f1:1, f2:1, tot_in_herbalA:2)"
7,f22r,f36r,0.500,"ctholy (f1:1, f2:1, tot_in_herbalA:2)"
8,f26r,f31v,0.500,"cthedy (f1:1, f2:1, tot_in_herbalA:2)"
9,f29v,f45v,0.500,"cthod (f1:1, f2:1, tot_in_herbalA:2)"
10,f30r,f49v,0.500,"chcthey (f1:1, f2:1, tot_in_herbalA:2)"
11,f34v,f43v,0.500,"chcthdy (f1:1, f2:1, tot_in_herbalA:2)"
12,f43v,f48v,0.500,"qocthedy (f1:1, f2:1, tot_in_herbalA:2)"
13,f46r,f48v,0.500,"cthdy (f1:1, f2:1, tot_in_herbalA:2)"
14,f51v,f53v,0.500,"ctheody (f1:1, f2:1, tot_in_herbalA:2)"
15,f29v,f3r,0.333,"octhy (f1:1, f2:1, tot_in_herbalA:3)"
16,f29v,f43v,0.333,"octhy (f1:1, f2:1, tot_in_herbalA:3)"
17,f3r,f43v,0.333,"octhy (f1:1, f2:1, tot_in_herbalA:3)"
18,f37v,f4v,0.333,"qocthy (f1:1, f2:1, tot_in_herbalA:3)"
19,f37v,f54v,0.333,"qocthy (f1:1, f2:1, tot_in_herbalA:3)"
20,f4v,f54v,0.333,"qocthy (f1:1, f2:1, tot_in_herbalA:3)"
21,f10r,f16v,0.333,"<%>pchocthy (f1:1, f2:1, tot_in_herbalA:3)"
22,f10r,f20r,0.333,"<%>pchocthy (f1:1, f2:1, tot_in_herbalA:3)"
23,f16v,f20r,0.333,"<%>pchocthy (f1:1, f2:1, tot_in_herbalA:3)"
24,f17v,f28r,0.333,"ctheol (f1:1, f2:1, tot_in_herbalA:3)"
25,f17v,f52v,0.333,"ctheol (f1:1, f2:1, tot_in_herbalA:3)"
26,f28r,f52v,0.333,"ctheol (f1:1, f2:1, tot_in_herbalA:3)"
27,f20v,f31r,0.333,"checthy (f1:1, f2:1, tot_in_herbalA:3)"
28,f20v,f31v,0.333,"checthy (f1:1, f2:1, tot_in_herbalA:3)"
29,f31r,f31v,0.333,"checthy (f1:1, f2:1, tot_in_herbalA:3)"
30,f21r,f25r,0.250,"cthain (f1:1, f2:2, tot_in_herbalA:4)"
