section,base,kind,grade,count,pct_of_base_in_section,pct_of_section
balneo,ch,humor,bare,271,28.29,3.97
balneo,ch,humor,e,597,62.32,8.74
balneo,ch,humor,o,31,3.24,0.45
balneo,ch,humor,eo,59,6.16,0.86
balneo,sh,humor,bare,115,13.96,1.68
balneo,sh,humor,e,628,76.21,9.19
balneo,sh,humor,o,34,4.13,0.50
balneo,sh,humor,eo,47,5.70,0.69
balneo,qok,process,bare,511,49.32,7.48
balneo,qok,process,e,484,46.72,7.08
balneo,qok,process,o,33,3.19,0.48
balneo,qok,process,eo,8,0.77,0.12
balneo,qot,process,bare,121,48.79,1.77
balneo,qot,process,e,116,46.77,1.70
balneo,qot,process,o,10,4.03,0.15
balneo,qot,process,eo,1,0.40,0.01
balneo,ok,process,bare,171,52.13,2.50
balneo,ok,process,e,136,41.46,1.99
balneo,ok,process,o,16,4.88,0.23
balneo,ok,process,eo,5,1.52,0.07
balneo,ot,process,bare,126,45.49,1.84
balneo,ot,process,e,123,44.40,1.80
balneo,ot,process,o,24,8.66,0.35
balneo,ot,process,eo,4,1.44,0.06
cosmo/zodiac,ch,humor,bare,201,24.45,4.48
cosmo/zodiac,ch,humor,e,247,30.05,5.51
cosmo/zodiac,ch,humor,o,249,30.29,5.55
cosmo/zodiac,ch,humor,eo,125,15.21,2.79
cosmo/zodiac,sh,humor,bare,64,17.83,1.43
cosmo/zodiac,sh,humor,e,152,42.34,3.39
cosmo/zodiac,sh,humor,o,81,22.56,1.81
cosmo/zodiac,sh,humor,eo,62,17.27,1.38
cosmo/zodiac,qok,process,bare,78,54.93,1.74
cosmo/zodiac,qok,process,e,35,24.65,0.78
cosmo/zodiac,qok,process,o,13,9.15,0.29
cosmo/zodiac,qok,process,eo,16,11.27,0.36
cosmo/zodiac,qot,process,bare,22,56.41,0.49
cosmo/zodiac,qot,process,e,12,30.77,0.27
cosmo/zodiac,qot,process,o,3,7.69,0.07
cosmo/zodiac,qot,process,eo,2,5.13,0.04
cosmo/zodiac,ok,process,bare,147,33.64,3.28
cosmo/zodiac,ok,process,e,150,34.32,3.34
cosmo/zodiac,ok,process,o,60,13.73,1.34
cosmo/zodiac,ok,process,eo,80,18.31,1.78
cosmo/zodiac,ot,process,bare,160,32.52,3.57
cosmo/zodiac,ot,process,e,153,31.10,3.41
cosmo/zodiac,ot,process,o,68,13.82,1.52
cosmo/zodiac,ot,process,eo,111,22.56,2.47
herbal-A,ch,humor,bare,858,33.32,9.14
herbal-A,ch,humor,e,458,17.79,4.88
herbal-A,ch,humor,o,1112,43.18,11.85
herbal-A,ch,humor,eo,147,5.71,1.57
herbal-A,sh,humor,bare,227,23.55,2.42
herbal-A,sh,humor,e,213,22.10,2.27
herbal-A,sh,humor,o,454,47.10,4.84
herbal-A,sh,humor,eo,70,7.26,0.75
herbal-A,qok,process,bare,108,40.00,1.15
herbal-A,qok,process,e,91,33.70,0.97
herbal-A,qok,process,o,59,21.85,0.63
herbal-A,qok,process,eo,12,4.44,0.13
herbal-A,qot,process,bare,67,41.36,0.71
herbal-A,qot,process,e,33,20.37,0.35
herbal-A,qot,process,o,58,35.80,0.62
herbal-A,qot,process,eo,4,2.47,0.04
herbal-A,ok,process,bare,218,56.33,2.32
herbal-A,ok,process,e,84,21.71,0.90
herbal-A,ok,process,o,55,14.21,0.59
herbal-A,ok,process,eo,30,7.75,0.32
herbal-A,ot,process,bare,142,52.79,1.51
herbal-A,ot,process,e,41,15.24,0.44
herbal-A,ot,process,o,63,23.42,0.67
herbal-A,ot,process,eo,23,8.55,0.25
pharm-herbal,ch,humor,bare,134,17.45,3.58
pharm-herbal,ch,humor,e,163,21.22,4.36
pharm-herbal,ch,humor,o,282,36.72,7.54
pharm-herbal,ch,humor,eo,189,24.61,5.05
pharm-herbal,sh,humor,bare,36,10.43,0.96
pharm-herbal,sh,humor,e,105,30.43,2.81
pharm-herbal,sh,humor,o,106,30.72,2.83
pharm-herbal,sh,humor,eo,98,28.41,2.62
pharm-herbal,qok,process,bare,50,21.28,1.34
pharm-herbal,qok,process,e,70,29.79,1.87
pharm-herbal,qok,process,o,44,18.72,1.18
pharm-herbal,qok,process,eo,71,30.21,1.90
pharm-herbal,qot,process,bare,10,27.03,0.27
pharm-herbal,qot,process,e,8,21.62,0.21
pharm-herbal,qot,process,o,9,24.32,0.24
pharm-herbal,qot,process,eo,10,27.03,0.27
pharm-herbal,ok,process,bare,70,25.64,1.87
pharm-herbal,ok,process,e,79,28.94,2.11
pharm-herbal,ok,process,o,60,21.98,1.60
pharm-herbal,ok,process,eo,64,23.44,1.71
pharm-herbal,ot,process,bare,52,38.24,1.39
pharm-herbal,ot,process,e,26,19.12,0.70
pharm-herbal,ot,process,o,36,26.47,0.96
pharm-herbal,ot,process,eo,22,16.18,0.59
rosettes,ch,humor,bare,89,32.72,4.88
rosettes,ch,humor,e,110,40.44,6.03
rosettes,ch,humor,o,53,19.49,2.90
rosettes,ch,humor,eo,20,7.35,1.10
rosettes,sh,humor,bare,39,22.54,2.14
rosettes,sh,humor,e,85,49.13,4.66
rosettes,sh,humor,o,32,18.50,1.75
rosettes,sh,humor,eo,17,9.83,0.93
rosettes,qok,process,bare,60,65.22,3.29
rosettes,qok,process,e,23,25.00,1.26
rosettes,qok,process,o,5,5.43,0.27
rosettes,qok,process,eo,4,4.35,0.22
rosettes,qot,process,bare,34,59.65,1.86
rosettes,qot,process,e,14,24.56,0.77
rosettes,qot,process,o,6,10.53,0.33
rosettes,qot,process,eo,3,5.26,0.16
rosettes,ok,process,bare,31,67.39,1.70
rosettes,ok,process,e,11,23.91,0.60
rosettes,ok,process,o,2,4.35,0.11
rosettes,ok,process,eo,2,4.35,0.11
rosettes,ot,process,bare,68,51.52,3.73
rosettes,ot,process,e,42,31.82,2.30
rosettes,ot,process,o,19,14.39,1.04
rosettes,ot,process,eo,3,2.27,0.16
stars,ch,humor,bare,543,24.86,5.05
stars,ch,humor,e,1031,47.21,9.58
stars,ch,humor,o,328,15.02,3.05
stars,ch,humor,eo,282,12.91,2.62
stars,sh,humor,bare,161,18.34,1.50
stars,sh,humor,e,487,55.47,4.53
stars,sh,humor,o,115,13.10,1.07
stars,sh,humor,eo,115,13.10,1.07
stars,qok,process,bare,393,39.58,3.65
stars,qok,process,e,533,53.68,4.95
stars,qok,process,o,35,3.52,0.33
stars,qok,process,eo,32,3.22,0.30
stars,qot,process,bare,167,49.26,1.55
stars,qot,process,e,125,36.87,1.16
stars,qot,process,o,29,8.55,0.27
stars,qot,process,eo,18,5.31,0.17
stars,ok,process,bare,318,47.18,2.95
stars,ok,process,e,310,45.99,2.88
stars,ok,process,o,19,2.82,0.18
stars,ok,process,eo,27,4.01,0.25
stars,ot,process,bare,360,49.72,3.35
stars,ot,process,e,291,40.19,2.70
stars,ot,process,o,37,5.11,0.34
stars,ot,process,eo,36,4.97,0.33
unknown,sh,humor,bare,0,0.00,0.00
unknown,sh,humor,e,1,100.00,20.00
unknown,sh,humor,o,0,0.00,0.00
unknown,sh,humor,eo,0,0.00,0.00
unknown,ot,process,bare,1,100.00,20.00
unknown,ot,process,e,0,0.00,0.00
unknown,ot,process,o,0,0.00,0.00
unknown,ot,process,eo,0,0.00,0.00
