section,community,count,pct
balneo,C0,325,0.08853173522201035
balneo,C1,2337,0.6366112775810406
balneo,C2,616,0.1678016889131027
balneo,C3,242,0.06592209207300463
balneo,C4,151,0.04113320621084173
cosmo/zodiac,C0,681,0.29725010912265387
cosmo/zodiac,C1,476,0.20776953295504147
cosmo/zodiac,C2,537,0.2343954604975993
cosmo/zodiac,C3,541,0.23614142295940638
cosmo/zodiac,C4,56,0.024443474465298997
herbal-A,C0,2525,0.5458279290964115
herbal-A,C1,709,0.153264159100735
herbal-A,C2,932,0.2014699524427151
herbal-A,C3,281,0.06074362300043234
herbal-A,C4,179,0.03869433635970601
pharm-herbal,C0,922,0.5139353400222966
pharm-herbal,C1,342,0.19063545150501673
pharm-herbal,C2,275,0.15328874024526198
pharm-herbal,C3,197,0.10981047937569677
pharm-herbal,C4,58,0.032329988851727984
rosettes,C0,170,0.22020725388601037
rosettes,C1,298,0.3860103626943005
rosettes,C2,207,0.26813471502590674
rosettes,C3,65,0.08419689119170984
rosettes,C4,32,0.04145077720207254
stars,C0,1046,0.1805939226519337
stars,C1,2455,0.4238604972375691
stars,C2,1296,0.22375690607734808
stars,C3,719,0.12413674033149172
stars,C4,276,0.04765193370165746
unknown,C1,1,0.5
unknown,C2,1,0.5
